VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
"GEORGIA GAS DISTRIBUTORS, INC.",Business;Remit to,V013527,"P.O. BOX 250149
ATLANTA, GA  30325",ATLANTA,USA,,"GEORGIA GAS DISTRIBUTORS, INC.",L000198103,GA,P.O. BOX 250149,,09/23/2022 17:38:31,12/31/2154 23:59:59,30325,101
CORPUS CHRISTI FREGHTLINER INC,Remit to,V013528,"PO BOX 222038
DALLAS, TX  75222-2038",DALLAS,USA,,CORPUS CHRISTI FREGHTLINER INC,L000198405,TX,PO BOX 222038,,09/26/2022 14:54:38,12/31/2154 23:59:59,75222-2038,101
JAVIER ERAZO,Business;Remit to,V013529,,,USA,,JAVIER ERAZO,L000199397,,,,10-03-2022 12:50,12/31/2154 23:59:59,,101
PERFORMANCE SYSTEMS INTEGRATION LLC,Remit to,V013531,"PO BOX 8528
PASADENA, CA  911-9-8601",PASADENA,USA,,PERFORMANCE SYSTEMS INTEGRATION LLC,L000225600,CA,PO BOX 8528,,02-02-2023 15:58,12/31/2154 23:59:59,911-9-8601,101
HUSKY MARKETING & SUPPLY COMPANY,Remit to,V013533,"BOX 6525, STATION D
CALGARY, AB, T2P 3-G7","CALGARY, AB",USA,,HUSKY MARKETING & SUPPLY COMPANY,L000198426,,"BOX 6525, STATION D",,09/29/2022 15:51:37,12/31/2154 23:59:59,T2P 3-G7,101
AMERICAN ASSOCIATION FOR LABORATORY ACCREDITATION,Remit to,V013534,"5202 PRESIDENTS COURT
SUITE 220
FREDERICK, MD  21703-8515",FREDERICK,USA,,AMERICAN ASSOCIATION FOR LABORATORY ACCREDIATION,L000198429,MD,"5202 PRESIDENTS COURT
SUITE 220",,09/29/2022 16:40:36,12/31/2154 23:59:59,21703-8515,101
"HILLTOP TOOL RENTALS, LLC",Business;Remit to,V013536,"32702 SH 249
TOMBALL, TX  77375",TOMBALL,USA,,"HILLTOP TOOL RENTALS, LLC",L000199394,TX,32702 SH 249,,10-03-2022 12:30,12/31/2154 23:59:59,77375,101
SYNERGY EQUIPMENT,Business;Remit to,V013537,"5801 HIGHWAY AVE
JACKSONVILLE, FL  34428",JACKSONVILLE,USA,,SYNERGY EQUIPMENT,L000199399,FL,5801 HIGHWAY AVE,,10-03-2022 14:38,12/31/2154 23:59:59,34428,101
METRO TOWING LLC DBA MICHIGAN SPILL RESPONSE,Remit to,V013538,"4305 LESSING RD
WATERFORD, MI  48329",WATERFORD,USA,,METRO TOWING DBA MICHIGAN SPILL RESPONSE,L000199696,MI,4305 LESSING RD,,10-03-2022 18:12,12/31/2154 23:59:59,48329,101
STARK COUNTY COMMISSIONER'S EMERGENCY MANAGEMENT AGENCY,Business;Remit to,V013539,"4500 ATLANTIC BLVD NE (LL)
CANTON, OH  44705",CANTON,USA,,STARK COUNTY COMMISSIONER'S EMERGENCY MANAGEMENT AGENCY,L000199405,OH,4500 ATLANTIC BLVD NE (LL),,10-04-2022 19:05,12/31/2154 23:59:59,44705,101
TROY INDUSTRIAL SOLUTIONS,Business;Remit to,V013540,"15 INDUSTRIAL PLAZA
BREWER, ME  04412",BREWER,USA,,TROY INDUSTRIAL SOLUTIONS,L000199503,ME,15 INDUSTRIAL PLAZA,,10-04-2022 12:07,12/31/2154 23:59:59,04412,101
"PHOENIX INDUSTRIES, LLC",Business;Remit to,V013541,"105 WEST DEWEY AVE
BUILDING B, UNIT 4
WHARTON, NJ  07885",WHARTON,USA,,"PHOENIX INDUSTRIES, LLC",L000199510,NJ,"105 WEST DEWEY AVE
BUILDING B, UNIT 4",,10-04-2022 15:28,12/31/2154 23:59:59,07885,101
BODELL CONSTRUCTION COMPANY,Business;Remit to,V013542,"586 FINE DRIVE
SALT LAKE CITY, UT  84115",SALT LAKE CITY,USA,,BODELL CONSTRUCTION COMPANY,L000199517,UT,586 FINE DRIVE,,10-04-2022 13:14,12/31/2154 23:59:59,84115,101
"PRO TECH MECHANICAL, INC.",Business;Remit to,V013543,"1622 SARATOGA BLVD.
CORPUS CHRISTI, TX  78417",CORPUS CHRISTI,USA,,"PRO TECH MECHANICAL, INC.",L000199603,TX,1622 SARATOGA BLVD.,,10-04-2022 13:18,12/31/2154 23:59:59,78417,101
"TRILLIUM OTR, LLC.",Remit to,V013545,"PO BOX 224507
DALLAS, TX  75222",DALLAS,USA,,"TRILLIUM OTR, LLC.",L000221800,TX,PO BOX 224507,,01-12-2023 17:23,12/31/2154 23:59:59,75222,101
"TRILLIUM OTR, LLC.",Business;Remit to,V013545,"23501 CINCO RANCH BLVD.
STE. H120
KATY, TX  77494",KATY,USA,,"TRILLIUM OTR, LLC.",L000199619,TX,"23501 CINCO RANCH BLVD.
STE. H120",,10-04-2022 16:33,12/31/2154 23:59:59,77494,101
ENVIRO-SAFE CONSULTING,Remit to,V013546,"W130 N10500 WASHINGTON DR.
GERMANTOWN, WI  53022",GERMANTOWN,USA,,ENVIRO-SAFE CONSULTING,L000199359,WI,W130 N10500 WASHINGTON DR.,,10-06-2022 23:14,12/31/2154 23:59:59,53022,101
KATHERINE CUTTS,Business;Remit to,V013547,"354 E WOODLAND RD.
SOUTHPORT, FL  32409",SOUTHPORT,USA,,KATHERINE CUTTS,L000200064,FL,354 E WOODLAND RD.,,10-07-2022 21:05,12/31/2154 23:59:59,32409,101
PROGRESSIVE PIPELINE MANAGEMENT LLC,Business;Remit to,V013548,"101 LINDEN STREET
WENONAH, NJ  08090",WENONAH,USA,,PROGRESSIVE PIPELINE MANAGEMENT LLC,L000199408,NJ,101 LINDEN STREET,,10-04-2022 19:21,12/31/2154 23:59:59,08090,101
WAYPOINT ANALYTICAL LLC,Business;Remit to,V013549,"LAURA MCCOY
2269 DR. F E WRIGHT DRIVE
JACKSON, TN  38305",JACKSON,USA,,WAYPOINT ANALYTICAL LLC,L000205083,TN,"LAURA MCCOY
2269 DR. F E WRIGHT DRIVE",,11/15/2022 20:19:55,12/31/2154 23:59:59,38305,101
WAYPOINT ANALYTICAL LLC,Business;Remit to,V013549,"2790 WHITTEN ROAD
MEMPHIS, TN  38133",MEMPHIS,USA,,WAYPOINT ANALYTICAL LLC,L000199896,TN,2790 WHITTEN ROAD,,10-05-2022 13:18,12/31/2154 23:59:59,38133,101
ACE TRANSPORTATION SYSTEMS LLC,Remit to,V013551,"PO BOX 628703
ORLANDO, FL  32862",ORLANDO,USA,,ACE TRANSPORTATION SYSTEMS LLC,L000199925,FL,PO BOX 628703,,10-05-2022 17:46,12/31/2154 23:59:59,32862,101
"AMERICAN ENVIRONMENTAL & INDUSTRIAL SERVICES, LLC.",Business;Remit to,V013552,"13080 CHEF MENTEUR HWY
NEW ORLEANS, LA  70126",NEW ORLEANS,USA,,"AMERICAN ENVIRONMENTAL & INDUSTRIAL SERVICES, LLC",L000199995,LA,13080 CHEF MENTEUR HWY,,07/27/2023 11:30:30,12/31/2154 23:59:59,70126,101
REP. SUE CHEW FOR IDAHO LEGISLATURE,Remit to,V013553,"6503 EVERETT STREET
BOISE, ID  83704",BOISE,USA,,REP. SUE CHEW FOR IDAHO LEGISLATURE,L000200002,ID,6503 EVERETT STREET,,10-06-2022 15:04,12/31/2154 23:59:59,83704,101
DURRANT FOR IDAHO,Remit to,V013554,"4000 W HUBBARD ROAD
KUNA, ID  83634",KUNA,USA,,DURRANT FOR IDAHO,L000200004,ID,4000 W HUBBARD ROAD,,10-06-2022 15:12,12/31/2154 23:59:59,83634,101
WENDY HORMAN FOR IDAHO,Remit to,V013555,"2788 MICHELLE
POCATELLO, ID  83201",POCATELLO,USA,,WENDY HORMAN FOR IDAHO,L000200006,ID,2788 MICHELLE,,10-06-2022 15:16,12/31/2154 23:59:59,83201,101
TINA FOR IDAHO,Remit to,V013556,"15510 CUPID DRIVE
CALDWELL, ID  83607",CALDWELL,USA,,TINA FOR IDAHO,L000200008,ID,15510 CUPID DRIVE,,10-06-2022 15:40,12/31/2154 23:59:59,83607,101
NASH FOR IDAHO,Remit to,V013557,"PO BOX 876
BOISE, ID  83701",BOISE,USA,,NASH FOR IDAHO,L000200010,ID,PO BOX 876,,10-06-2022 15:55,12/31/2154 23:59:59,83701,101
JULIANNE YOUNG FOR IDAHO,Remit to,V013558,"275 NORTH 400
BLACKFOOT, ID  83221",BLACKFOOT,USA,,JULIANNE YOUNG FOR IDAHO,L000200012,ID,275 NORTH 400,,10-06-2022 16:22,12/31/2154 23:59:59,83221,101
TONY FOR IDAHO,Remit to,V013559,"PO BOX 2483
POST FALLS, ID  83877",POST FALLS,USA,,TONY FOR IDAHO,L000200014,ID,PO BOX 2483,,10-06-2022 16:25,12/31/2154 23:59:59,83877,101
ABBY LEE FOR IDAHO,Remit to,V013560,"5370 ELMORE ROAD
FRUITLAND, ID  83619",FRUITLAND,USA,,ABBY LEE OFR IDAHO,L000200016,ID,5370 ELMORE ROAD,,10-06-2022 16:27,12/31/2154 23:59:59,83619,101
SCHROEDER FOR IDAHO,Remit to,V013561,"300 S 10TH E
MOUNTAIN HOME, ID  83647",MOUNTAIN HOME,USA,,SCHROEDER FOR IDAHO,L000200018,ID,300 S 10TH E,,10-06-2022 16:30,12/31/2154 23:59:59,83647,101
CUSHMAN & WAKEFIELD,Business;Remit to,V013562,"ONE AMERICA SQUARE 
SUITE 1800
INDIANAPOLIS, IN  46282",INDIANAPOLIS,USA,,CUSHMAN & WAKEFIELD,L000200027,IN,"ONE AMERICA SQUARE 
SUITE 1800",,10-07-2022 17:16,12/31/2154 23:59:59,46282,101
"JOHN BROWN TRUCKING, INC.",Remit to,V013563,"P.O. BOX 9451
YOUNGSTOWN, OH  44513",YOUNGSTOWN,USA,,"JOHN BROWN TRUCKING, INC.",L000200030,OH,P.O. BOX 9451,,10-07-2022 17:54,12/31/2154 23:59:59,44513,101
VALERIE WALTERS,Business;Remit to,V013564,,,USA,,VALERIE WALTERS,L000200038,,,,10-07-2022 18:24,12/31/2154 23:59:59,,101
"HANSCOM CONSTRUCTION, INC.",Business;Remit to,V013565,"384 RIDGE ROAD
MARSHFIELD, ME  04654",MARSHFIELD,USA,,"HANSCOM CONSTRUCTION, INC.",L000200041,ME,384 RIDGE ROAD,,10-07-2022 19:32,12/31/2154 23:59:59,04654,101
WATERSHED GEOSYNTHETICS LLC,Business;Remit to,V013566,"11400 ATLANTIS PLACE
SUITE 200
ALPHARETTA, GA  30022",ALPHARETTA,USA,,WATERSHED GEOSYNTHETICS LLC,L000200048,GA,"11400 ATLANTIS PLACE
SUITE 200",,10-07-2022 19:49,12/31/2154 23:59:59,30022,101
"HARDLINE INDUSTRIAL SERVICES, LLC",Business;Remit to,V013567,"8210 HWY 6, BOX 6
HITCHCOCK, TX  77563",HITCHCOCK,USA,,"HARDLINE INDUSTRIAL SERVICES, LLC",L000200056,TX,"8210 HWY 6, BOX 6",,10-07-2022 20:14,12/31/2154 23:59:59,77563,101
"KOCH FERTILIZER CANADA, ULC",Business;Remit to,V013568,"701 17TH ST. E
BRANDON, MB  R7A 7C4
CAN",BRANDON,CAN,,"KOCH FERTILIZER CANADA, ULC",L000200063,MB,701 17TH ST. E,,10-07-2022 20:36,12/31/2154 23:59:59,R7A 7C4,101
TARGA SOUTHTEX MIDSTREAM MARKETING COMPANY LTD.,Business;Remit to,V013569,"811 LOUISIANA SUITE 2100
HOUSTON, TX  77002-1400",HOUSTON,USA,,TARGA SOUTHTEX MIDSTREAM MARKETING COMPANY LTD.,L000200067,TX,811 LOUISIANA SUITE 2100,,10-07-2022 21:20,12/31/2154 23:59:59,77002-1400,101
AMERICAN SCIENTIFIC LABORATORIES LLC,Business;Remit to,V013570," 2520 N SAN FERNANDO RD
LOS ANGELES, CA  90065",LOS ANGELES,USA,,AMERICAN SCIENTIFIC LABORATORIES,L000200694,CA, 2520 N SAN FERNANDO RD,,10-10-2022 12:13,12/31/2154 23:59:59,90065,101
C.N. WOOD CO. INC.,Business;Remit to,V013571,"97 NY 302
PINE BUSH, NY  12566",PINE BUSH,USA,,C.N. WOOD INC,L000338984,NY,97 NY 302,,05/22/2024 00:00:00,12/31/2154 23:59:59,12566,101
C.N. WOOD CO. INC.,Remit to,V013571,"DEPARTMENT 1660
P.O. BOX 4110
WOBURN, MA  01801",WOBURN,USA,,C.N. WOOD CO. INC.,L000200795,MA,"DEPARTMENT 1660
P.O. BOX 4110",,10-10-2022 12:38,12/31/2154 23:59:59,01801,101
WELDING SUPPLY OF MONAHANS,Remit to,V013572,"P.O. BOX 810
MONAHANS, TX  79756",MONAHANS,USA,,WELDING SUPPLY OF MONAHANS,L000225327,TX,P.O. BOX 810,,02-07-2023 15:42,12/31/2154 23:59:59,79756,101
IKA WORKS INC,Remit to,V013573,"PO BOX 890161
CHARLOTTE, NC  28289",CHARLOTTE,USA,,IKA WORKS INC,L000200705,NC,PO BOX 890161,,10-11-2022 13:27,12/31/2154 23:59:59,28289,101
SYLVA CONSTRUCTION CO,Business;Remit to,V013574,"110 W 7TH STREET SUITE 2300
TULSA, OK  74119",TULSA,USA,,SYLVA CONSTRUCTION CO,L000200712,OK,110 W 7TH STREET SUITE 2300,,10-11-2022 13:43,12/31/2154 23:59:59,74119,101
TOM GARCIA,Business;Remit to,V013575,"475 E VESTAL
SAN ANTONIO, TX  78221",SAN ANTONIO,USA,,TOM GARCIA,L000200717,TX,475 E VESTAL,,10-11-2022 16:41,12/31/2154 23:59:59,78221,101
"ALLIANCE ENVIRONMENTAL GROUP, LLC",Remit to,V013576,"777 N. GEORGIA AVE.
AZUSA, CA  91702",AZUSA,USA,,"ALLIANCE ENVIRONMENTAL GROUP, LLC",L000200721,CA,777 N. GEORGIA AVE.,,10-11-2022 17:21,12/31/2154 23:59:59,91702,101
ANALYTICAL INSTRUMENT MANAGEMENT,Business;Remit to,V013577,"8392 SOUTH CONTINENTIAL DIVIDE ROAD
SUITE 102
LITTLETON, CO  80127",LITTLETON,USA,,ANALYTICAL INSTRUMENT MANAGEMENT,L000200997,CO,"8392 SOUTH CONTINENTIAL DIVIDE ROAD
SUITE 102",,10-12-2022 17:07,12/31/2154 23:59:59,80127,101
ALLCOMM INC,Business;Remit to,V013578,"1076 RIG ST
COMMERCE TWP, MI  48390",COMMERCE TWP,USA,,ALLCOMM INC,L000200939,MI,1076 RIG ST,,10/13/2022 11:11:58,12/31/2154 23:59:59,48390,101
BEATTY LIONS CLUB,Business;Remit to,V013579,"P.O. BOX 1188
BEATTY, NV  89003",BEATTY,USA,,BEATTY LIONS CLUB,L000200635,NV,P.O. BOX 1188,,10/13/2022 13:14:36,12/31/2154 23:59:59,89003,101
BRAHMA GROUP INC.,Business;Remit to,V013580,"1132 S. 500 W.
SALT LAKE CITY, UT  84101",SALT LAKE CITY,USA,,BRAHMA GROUP INC.,L000200637,UT,1132 S. 500 W.,,10/13/2022 13:37:38,12/31/2154 23:59:59,84101,101
ANALYTICAL TESTING CORP LLC.,Business;Remit to,V013581,"P.O. BOX 340573
COLUMBUS, OH  43234",COLUMBUS,USA,,ANALYTICAL TESTING CORP LLC.,L000200651,OH,P.O. BOX 340573,,10/13/2022 16:33:25,12/31/2154 23:59:59,43234,101
NATURAL DESIGNS LANDSCAPING,Business;Remit to,V013582,"P.O. BOX 1678
LUTZ, FL  33548",LUTZ,USA,,NATURAL DESIGNS LANDSCAPING,L000200657,FL,P.O. BOX 1678,,10/13/2022 16:51:10,12/31/2154 23:59:59,33548,101
HAZMAT INC,Remit to,V013583,"PO BOX 768
NEWPORT BEACH, CA  92661",NEWPORT BEACH,USA,,HAZMAT INC,L000200756,CA,PO BOX 768,,10/13/2022 17:43:52,12/31/2154 23:59:59,92661,101
"UNITED SITE SERVICES OF TEXAS, INC.",Business;Remit to,V013584,"P.O. BOX 660475
DALLAS, TX  75266",DALLAS,USA,,"UNITED SITE SERVICES OF TEXAS, INC.",L000200667,TX,P.O. BOX 660475,,10/13/2022 20:35:51,12/31/2154 23:59:59,75266,101
POSITIVE PROMOTIONS INC,Remit to,V013586,"PO BOX 11537
NEWARK, NJ  11537",NEWARK,USA,,POSITIVE PROMOTIONS INC,L000201301,NJ,PO BOX 11537,,10/18/2022 13:56:22,12/31/2154 23:59:59,11537,101
UNITED AG & TURF,Remit to,V013588,"PO BOX 767
ALBANY, NY  12201",ALBANY,USA,,UNITED AG & TURF,L000201702,NY,PO BOX 767,,10/19/2022 15:01:10,12/31/2154 23:59:59,12201,101
A-BEST ROOFING,Business;Remit to,V013589,"1411 E 3RD ST
TULSA, OK  74120",TULSA,USA,,A-BEST ROOFING,L000201794,OK,1411 E 3RD ST,,10/20/2022 12:18:55,12/31/2154 23:59:59,74120,101
MOLIMO LLC,Business;Remit to,V013590,"1410 Eden Road
YORK, PA  17402",YORK,USA,,MOLIMO LLC,L000201325,PA,1410 Eden Road,,10/20/2022 12:34:07,12/31/2154 23:59:59,17402,101
SAFE VISION,Remit to,V013591,"P.O. BOX 122454
DALLAS, TX  75312",DALLAS,USA,,HOYA VISION,L000257656,TX,P.O. BOX 122454,,07-03-2023 13:43,12/31/2154 23:59:59,75312,101
SAFE VISION,Remit to,V013591,"PO BOX 122454
DALLAS, TX  75312-2454",DALLAS,USA,,SAFE VISION,L000201329,TX,PO BOX 122454,,10/20/2022 15:09:55,12/31/2154 23:59:59,75312-2454,101
MSP ELECTRIC LLC,Business;Remit to,V013592,"1408 Northland Drive Suite 106
MENDOTA HEIGHTS, MN  55120",MENDOTA HEIGHTS,USA,,MSP ELECTRIC LLC,L000202095,MN,1408 Northland Drive Suite 106,,10/21/2022 13:28:31,12/31/2154 23:59:59,55120,101
RISING STAR TRUCKING LLC,Remit to,V013593,"1113 SERTACHE 
VICTORIA, TX  77901",VICTORIA,USA,,RISING STAR TRUCKING LLC,L000202194,TX,1113 SERTACHE,,10/21/2022 13:48:25,12/31/2154 23:59:59,77901,101
MCCORKLE ELECTRIC,Remit to,V013594,"568 CEDAR STREET
CHILLICOTHE, OH  45601",CHILLICOTHE,USA,,MCCORKLE ELECTRIC,L000202800,OH,568 CEDAR STREET,,10/24/2022 14:40:52,12/31/2154 23:59:59,45601,101
ECO-FRIENDLY INC.,Business;Remit to,V013595,"15 STEPHENS CT.
HAUPPAUGE, NY",HAUPPAUGE,USA,,ECO-FREINDLY INC.,L000202603,NY,15 STEPHENS CT.,,10/24/2022 14:59:47,12/31/2154 23:59:59,,101
POTOMAC ENVIRONMENTAL INC,Remit to,V013596,"PO BOX 1836
STAFFORD, VA  22555",STAFFORD,USA,,POTOMAC ENVIRONMENTAL INC,L000202706,VA,PO BOX 1836,,10/24/2022 20:08:36,12/31/2154 23:59:59,22555,101
TITAN PRUDENTIAL SECURITY LLC,Remit to,V013597,"P.O. BOX 95686
CHICAGO, IL  60694-5686",CHICAGO,USA,,TITAN PRUDENTIAL SECURITY LLC,L000202623,IL,P.O. BOX 95686,,10/24/2022 20:11:42,12/31/2154 23:59:59,60694-5686,101
BUCKEYE POWER SALES CO. INC,Business;Remit to,V013599,"PO BOX 489
BLACKLICK, OH  43004",BLACKLICK,USA,,BUCKEYE POWER SALES CO. INC,L000202818,OH,PO BOX 489,,10/25/2022 13:36:51,12/31/2154 23:59:59,43004,101
YEJIDEH HATTEN,Business;Remit to,V013600,,,USA,,YEJIDEH HATTEN,L000202726,,,,10/26/2022 19:00:48,12/31/2154 23:59:59,,101
COMPSYCH CORPORATION,Business;Remit to,V013601,"455 N CITYFRONT PLAZA
CHICAGO, IL  60611-5322",CHICAGO,USA,,COMPSYCH CORPORATION,L000202731,IL,455 N CITYFRONT PLAZA,,10/28/2022 11:29:08,12/31/2154 23:59:59,60611-5322,101
SHANNIE CASTILLOVEITIA MALDONADO,Business;Remit to,V013602,,,USA,,SHANNIE CASTILLOVEITIA MALDONADO,L000202733,,,,10/28/2022 11:41:21,12/31/2154 23:59:59,,101
BERENICE ARAUJO GARCIA,Business;Remit to,V013603,,,USA,,BERENICE ARAUJO GARCIA,L000202735,,,,10/28/2022 11:57:42,12/31/2154 23:59:59,,101
PARISO LOGISTICS INC.,Business;Remit to,V013604,"3649 RIVER RD
TONAWANDA, NY  14150",TONAWANDA,USA,,PARISO LOGISTICS INC.,L000202737,NY,3649 RIVER RD,,10/28/2022 12:37:10,12/31/2154 23:59:59,14150,101
MERCEDES-BENZ OF THE WOODLANDS,Business;Remit to,V013606,"150 W UNIVERSITY DR FL 4
TEMPE, AZ  85281",TEMPE,USA,,MERCEDES-BENZ OF THE WOODLANDS,L000202743,AZ,150 W UNIVERSITY DR FL 4,,10/28/2022 13:29:10,12/31/2154 23:59:59,85281,101
RIVERSIDE CHEVROLET BUICK GMC OF ROME,Business;Remit to,V013607,"100 HWY 411 EAST
ROME, GA  30161",ROME,USA,,RIVERSIDE CHEVROLET BUICK GMC OF ROME,L000202751,GA,100 HWY 411 EAST,,10/28/2022 17:38:56,12/31/2154 23:59:59,30161,101
"W.R. BEACH, INC.",Business;Remit to,V013608,"820 W. SUMNER AVE
INDIANAPOLIS, IN  46217",INDIANAPOLIS,USA,,"W.R. BEACH, INC.",L000202753,IN,820 W. SUMNER AVE,,10/28/2022 18:19:39,12/31/2154 23:59:59,46217,101
"STRATEGIC ENVIRONMENTAL RESPONSE SOLUTIONS, LLC",Business;Remit to,V013609,"6838 MORRIS RD
ORANGE, TX  77632",ORANGE,USA,,"STRATEGIC ENVIRONMENTAL RESPONSE SOLUTIONS, LLC",L000203212,TX,6838 MORRIS RD,,10/31/2022 13:38:43,12/31/2154 23:59:59,77632,101
HIGH IMPACT,Business;Remit to,V013610,"P.O. BOX 2236
LA HABRA, CA  90632",LA HABRA,USA,,HIGH IMPACT,L000203695,CA,P.O. BOX 2236,,10/31/2022 18:53:37,12/31/2154 23:59:59,90632,101
T ENTERPRISES INC,Remit to,V013611,"210 E LEWIS PLACE
PASCO, WA  99301",PASCO,USA,,T ENTERPRISES INC,L000203397,WA,210 E LEWIS PLACE,,11-01-2022 13:12,12/31/2154 23:59:59,99301,101
CCMSI,Business;Remit to,V013614,"2 EAST MAIN ST. SUITE 208
DANVILLE, IL  61832",DANVILLE,USA,,CCMSI,L000204003,IL,2 EAST MAIN ST. SUITE 208,,11-02-2022 12:37,12/31/2154 23:59:59,61832,101
FREEMAN HEATH,Business;Remit to,V013615,,,USA,,FREEMAN HEATH,L000204407,,,,11-03-2022 15:12,12/31/2154 23:59:59,,101
LARISSA DOWNIE,Business;Remit to,V013616,,,USA,,LARISSA DOWNIE,L000204409,,,,11-03-2022 15:24,12/31/2154 23:59:59,,101
GABRIELA DIMAS,Business;Remit to,V013617,,,USA,,GABRIELA DIMAS,L000204411,,,,11-03-2022 15:39,12/31/2154 23:59:59,,101
DAVONN ANDERSON,Business;Remit to,V013618,,,USA,,DAVONN ANDERSON,L000204413,,,,11-03-2022 15:58,12/31/2154 23:59:59,,101
RUSH TRUCK CENTERS OF ILLINOIS,Business;Remit to,V013619,"11816 SOUTH ILLINOIS
ROUTE 47
HUNTLEY, IL  60142",HUNTLEY,USA,,RUSH TRUCK CENTERS HUNTLEY,L000428304,IL,"11816 SOUTH ILLINOIS
ROUTE 47",,03/21/2025 16:35:00,12/31/2154 23:59:59,60142,101
RUSH TRUCK CENTERS OF ILLINOIS,Business;Remit to,V013619,"ATTN: KURT KETTERHAGEN
103 S. LARKIN AVE
JOLIET, IL  60436",JOLIET,USA,,RUSH TRUCK CENTERS OF ILLINOIS,L000204416,IL,"ATTN: KURT KETTERHAGEN
103 S. LARKIN AVE",,11-03-2022 17:38,12/31/2154 23:59:59,60436,101
"ENVIRO CARE, INC.",Business;Remit to,V013620,"505 NORTH MAIN STREET
NORTH SALT LAKE, UT  84054-2101",NORTH SALT LAKE,USA,,"ENVIRO CARE, INC.",L000204424,UT,505 NORTH MAIN STREET,,11-03-2022 21:04,12/31/2154 23:59:59,84054-2101,101
DRO BUSH,Business;Remit to,V013621,,,USA,,DRO BUSH,L000204430,,,,11-03-2022 22:18,12/31/2154 23:59:59,,101
ROCKWHEEL AMERICAS,Business;Remit to,V013622,"801 PLEASANT VIEW BLVD.
BELLEFONTE, PA  16823",BELLEFONTE,USA,,ROCKWHEEL AMERICAS,L000204432,PA,801 PLEASANT VIEW BLVD.,,11-03-2022 22:26,12/31/2154 23:59:59,16823,101
JESSE SMITH,Business;Remit to,V013623,,,USA,,JESSE SMITH,L000204439,,,,11-03-2022 22:40,12/31/2154 23:59:59,,101
"HIGH ACRES ASSOCIATES, INC.",Business;Remit to,V013624,"38 School Street
HOPKINTON, MA  01748",HOPKINTON,USA,,"HIGH ACRES ASSOCIATES, INC.",L000204445,MA,38 School Street,,11-04-2022 19:02,12/31/2154 23:59:59,01748,101
PACIFIC SENSOR SERVICES LLC,Business;Remit to,V013625,"2429 DICKERSON PKWY
CARROLLTON, TX  75006",CARROLLTON,USA,,PACIFIC SENSOR SERVICES LLC,L000204895,TX,2429 DICKERSON PKWY,,11-07-2022 13:58,12/31/2154 23:59:59,75006,101
EXPO PROPANE,Business;Remit to,V013626,"638 E. GAGE AVE.
LOS ANGELES, CA  90001",LOS ANGELES,USA,,EXPO PROPANE,L000205094,CA,638 E. GAGE AVE.,,11-08-2022 14:27,12/31/2154 23:59:59,90001,101
KLEIN BROTHERS FENCE & STAKE,Business;Remit to,V013627,"2400 E BUNO ROAD
MILFORD, MI  48381",MILFORD,USA,,KLEIN BROTHERS FENCE & STAKE,L000205100,MI,2400 E BUNO ROAD,,11-08-2022 15:28,12/31/2154 23:59:59,48381,101
TECHNOLOGY SOLUTIONS ANYWHERE LLC,Business;Remit to,V013628,"5966 Lovewood Ct
CANTON, MI  48187",CANTON,USA,,TECHNOLOGY SOLUTIONS ANYWHERE LLC,L000204912,MI,5966 Lovewood Ct,,11-08-2022 18:13,12/31/2154 23:59:59,48187,101
ALYSSA RENEE ABREGO,Remit to,V013629,"3706 SUNNYVILLE DR
CORPUS CHRISTI, TX  78410",CORPUS CHRISTI,USA,,ALYSSA RENEE ABREGO,L000205018,TX,3706 SUNNYVILLE DR,,11-08-2022 18:43,12/31/2154 23:59:59,78410,101
HAZCORE ENVIRONMENTAL INC.,Business;Remit to,V013630,"7181 N. HUALAPAI WAY STE 130
LAS VEGAS, NV  89166",LAS VEGAS,USA,,HAZCORE ENVIRONMENTAL INC.,L000204814,NV,7181 N. HUALAPAI WAY STE 130,,11-09-2022 12:45,12/31/2154 23:59:59,89166,101
SCOTT ADAMS,Business;Remit to,V013632,,,USA,,SCOTT ADAMS,L000205187,,,,11-11-2022 19:54,12/31/2154 23:59:59,,101
CONSOLIDATED SERVICE GROUP,Business;Remit to,V013633,"3416 SHADER RD. STE. 100
ORLANDO, FL  32808",ORLANDO,USA,,CONSOLIDATED SERVICE GROUP,L000205189,FL,3416 SHADER RD. STE. 100,,11-11-2022 20:08,12/31/2154 23:59:59,32808,101
TEXAS CONTRACTORS GROUP,Business;Remit to,V013634,"24219 SUNNY GLEN DR.
HUFFMAN, TX  77336-2859",HUFFMAN,USA,,TEXAS CONTRACTORS GROUP,L000204841,TX,24219 SUNNY GLEN DR.,,11/14/2022 14:26:48,12/31/2154 23:59:59,77336-2859,101
PRATT AUTO SALVAGE & SALES,Remit to,V013635,"PO BOX 9
HOXIE, AR  72433",HOXIE,USA,,PRATT AUTO SALVAGE & SALES,L000204848,AR,PO BOX 9,,11/14/2022 16:38:58,12/31/2154 23:59:59,72433,101
