VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
D&B TOWING LLC,Remit to,V017046,"211 WHETSTONE ROAD
SWANSEA, SC  29160",SWANSEA,USA,,D&B TOWING LLC,L000373967,SC,211 WHETSTONE ROAD,,10-03-2024 11:17,12/31/2154 23:59:59,29160,101
"D&G PRECISION, LLC",Business;Remit to,V017048,"709 LOUIS AVENUE
LINDEN, NJ  7036",LINDEN,USA,,"D&G PRECISION, LLC",L000275608,NJ,709 LOUIS AVENUE,,08-10-2023 00:00,12/31/2154 23:59:59,7036,101
D&H AUTO SUPPLIES LLC,Business;Remit to,V017049,"3448 HARDING HWY PO BOX 216
MALAGA, NJ  08328",MALAGA,USA,,D&H AUTO SUPPLIES LLC,L000275609,NJ,3448 HARDING HWY PO BOX 216,,10-08-2024 15:07,12/31/2154 23:59:59,08328,101
DELAWARE VALLEY SAFETY COUNCIL,Business;Remit to,V017057,"510 HERON DR. SUITE 210
SWEDESBORO, NJ  08085",SWEDESBORO,USA,,DELAWARE VALLEY SAFETY COUNCIL,L000275617,NJ,510 HERON DR. SUITE 210,,06/18/2024 15:21:38,12/31/2154 23:59:59,08085,101
DELCORA,Business;Remit to,V017058,"PO BOX 999
CHESTER, PA  19016-0999",CHESTER,USA,,DELCORA,L000275618,PA,PO BOX 999,,01/30/2025 13:26:05,12/31/2154 23:59:59,19016-0999,101
DERRY TOWNSHIP MUNICIPAL,Business;Remit to,V017063,"670 CLEARWATER ROAD
HERSHEY, PA  17033-2453",HERSHEY,USA,,DERRY TOWNSHIP MUNICIPAL AUTHORITY,L000275623,PA,670 CLEARWATER ROAD,,02-05-2025 16:05,12/31/2154 23:59:59,17033-2453,101
DIESEL DIRECT MID ATLANTIC,Remit to,V017068,"P.O. BOX 536785
PITTSBURGH, PA  15253",PITTSBURGH,USA,,DIESEL DIRECT,L000393874,PA,P.O. BOX 536785,,11/22/2024 18:47:18,12/31/2154 23:59:59,15253,101
DL WELDING & TANK SERVICE,Business;Remit to,V017074,"DOUG LUBUNYZ 2212 N. 12TH ST
HAINES CITY, FL  33844",HAINES CITY,USA,,DL WELDING & TANK SERVICE,L000275634,FL,DOUG LUBUNYZ 2212 N. 12TH ST,,08-10-2023 00:00,12/31/2154 23:59:59,33844,101
DOWNFORCE AIR SOLUTIONS LLC,Business;Remit to,V017078,"1805 LOUCKS ROAD STE 800
YORK, PA  17408",YORK,USA,,DOWNFORCE AIR SOLUTIONS LLC,L000275638,PA,1805 LOUCKS ROAD STE 800,,08-10-2023 00:00,12/31/2154 23:59:59,17408,101
DSI HOLDINGS INC DBA SERVICE MASTER DSI,Business;Remit to,V017081,"2400 WISCONSIN AVENUE
DOWNERS GROVE, IL  60515",DOWNERS GROVE,USA,,DSI HOLDINGS INC DBA SERVICE MASTER DSI,L000275641,IL,2400 WISCONSIN AVENUE,,08-10-2023 00:00,12/31/2154 23:59:59,60515,101
"DUTCHESS SCHOOL OF DRIVING, INC.",Business;Remit to,V017082,"653 ROUTE 82
HOPEWELL JUNCTION, NY  12533",HOPEWELL JUNCTION,USA,,"DUTCHESS SCHOOL OF DRIVING, INC.",L000275642,NY,653 ROUTE 82,,08-10-2023 00:00,12/31/2154 23:59:59,12533,101
EAGLE FENCE & GUARDRAIL,Remit to,V017085,"P.O. BOX 7077
PLAINVILLE, CT  06062",PLAINVILLE,USA,,EAGLE FENCE & GUARDRAIL,L000369862,CT,P.O. BOX 7077,,09/18/2024 13:24:50,12/31/2154 23:59:59,06062,101
"EARLY ENVIRONMENTAL CONTRACTING, LLC",Business;Remit to,V017087,"PO BOX 1483
SHELBYVILLE, KY  40066",SHELBYVILLE,USA,,"EARLY ENVIRONMENTAL CONTRACTING, LLC",L000275647,KY,PO BOX 1483,,08-10-2023 00:00,12/31/2154 23:59:59,40066,101
"ECOLOGY SERVICES, INC.",Business;Remit to,V017090,"9135 GUILFORD RD SUITE 200
COLUMBIA, MD  21046",COLUMBIA,USA,,"ECOLOGY SERVICES, INC.",L000275650,MD,9135 GUILFORD RD SUITE 200,,08-10-2023 00:00,12/31/2154 23:59:59,21046,101
ELECTRONIC MEASUREMENT LABS INC.,Business;Remit to,V017098,"668 EASTON AVE
SOMERSET, NJ  08873",SOMERSET,USA,,ELECTRONIC MEASUREMENT LABS INC.,L000275658,NJ,668 EASTON AVE,,03-11-2024 20:45,12/31/2154 23:59:59,08873,101
ELIZABETH FIRE DEPARTMENT,Business;Remit to,V017099,"BUREAU OF FIRE PREVENTION 411 IRVINGTON AVENUE
ELIZABETH, NJ  7201",ELIZABETH,USA,,ELIZABETH FIRE DEPARTMENT,L000275659,NJ,BUREAU OF FIRE PREVENTION 411 IRVINGTON AVENUE,,08-10-2023 00:00,12/31/2154 23:59:59,7201,101
EMPIRE 11 INC.,Business;Remit to,V017104,"24 EAST PROSPECT ST.
WALDWICK, NJ  7463",WALDWICK,USA,,EMPIRE 11 INC.,L000275664,NJ,24 EAST PROSPECT ST.,,08-10-2023 00:00,12/31/2154 23:59:59,7463,101
ENCORE FIRE PROTECTION,Business;Remit to,V017106,"70 BACON STREET
PAWTUCKET, RI  02860",PAWTUCKET,USA,,ENCORE FIRE PROTECTION,L000275666,RI,70 BACON STREET,,08/29/2025 18:44:35,12/31/2154 23:59:59,02860,101
ENERGY PLUS SCIENTIFIC DBA MEDICAL TECHNOLOGY ASSOCIATES,Remit to,V017107,"6651 102ND AVE. N
PINELLAS PARK, FL  33782",PINELLAS PARK,USA,,ENERGY PLUS SCIENTIFIC DBA MEDICAL TECHNOLOGY ASSOCIATES,L000341294,FL,6651 102ND AVE. N,,06-07-2024 11:36,12/31/2154 23:59:59,33782,101
ENTERPRISE COMMERCIAL TRUCKS,Business;Remit to,V017109,"1320 BROOKS AVE
ROCHESTER, NY  14624",ROCHESTER,USA,,ENTERPRISE COMMERCIAL TRUCKS,L000275669,NY,1320 BROOKS AVE,,08-10-2023 00:00,12/31/2154 23:59:59,14624,101
ENV SERVICES INC,Business;Remit to,V017110,"C/O MUNICIPAL AUTH. OF SOUTH HEIDELBERG PO BOX 37836
BALTIMORE, MD  21297-7836",BALTIMORE,USA,,ENV SERVICES INC,L000275670,MD,C/O MUNICIPAL AUTH. OF SOUTH HEIDELBERG PO BOX 37836,,08-12-2025 16:06,12/31/2154 23:59:59,21297-7836,101
ENVIROMARK,Business;Remit to,V017112,"2611 STATE STREET
BETTENDORF, IA  52722",BETTENDORF,USA,,ENVIROMARK,L000275672,IA,2611 STATE STREET,,08-10-2023 00:00,12/31/2154 23:59:59,52722,101
"ENVIRONMENTAL AND CHEMICAL CONSULTING, INC.",Business;Remit to,V017113,"PO BOX 4735
BLUE JAY, CA  92317",BLUE JAY,USA,,"ENVIRONMENTAL AND CHEMICAL CONSULTING, INC.",L000275673,CA,PO BOX 4735,,08-10-2023 00:00,12/31/2154 23:59:59,92317,101
"ENVIRONMENTAL EQUIPMENT REPAIR, INC.",Business;Remit to,V017114,"236 STUYVESANT AVE
LYNDHURST, NJ  07071",LYNDHURST,USA,,"ENVIRONMENTAL EQUIPMENT REPAIR, INC.",L000275674,NJ,236 STUYVESANT AVE,,05/22/2024 12:07:12,12/31/2154 23:59:59,07071,101
ENVIRONMENTAL MGMT SERVICES INC,Business;Remit to,V017116,"1688 EAST GUDE DR SUITE 301
ROCKVILLE, MD  20850",ROCKVILLE,USA,,ENVIRONMENTAL MGMT SERVICES INC,L000275676,MD,1688 EAST GUDE DR SUITE 301,,08-10-2023 00:00,12/31/2154 23:59:59,20850,101
ENVIRONMENTAL PROTECTION SERVICE INC,Business;Remit to,V017117,"4 INDUSTRIAL PARK DRIVE
WHEELING, WV  26003",WHEELING,USA,,ENVIRONMENTAL PROTECTION SERVICE INC,L000275677,WV,4 INDUSTRIAL PARK DRIVE,,08-10-2023 00:00,12/31/2154 23:59:59,26003,101
"ENVIRONMENTAL REMEDIATION CONSULTANTS, INC.",Business;Remit to,V017118,"506 HUTCHENSON RD.
SEYMOUR, TN  37865",SEYMOUR,USA,,"ENVIRONMENTAL REMEDIATION CONSULTANTS, INC.",L000275678,TN,506 HUTCHENSON RD.,,08-10-2023 00:00,12/31/2154 23:59:59,37865,101
ENVIRONMENTAL SAFETY PRODUCTS,Business;Remit to,V017119,"700 WEST 6TH ST
MICHIGAN CITY, IN  46360",MICHIGAN CITY,USA,,ENVIRONMENTAL SAFETY PRODUCTS,L000275679,IN,700 WEST 6TH ST,,08-10-2023 00:00,12/31/2154 23:59:59,46360,101
ENVIRONMENTAL SAFETY SALES + RENTALS,Business;Remit to,V017120,"PO BOX 2826
EASLEY, SC  29641",EASLEY,USA,,ENVIRONMENTAL SAFETY SALES + RENTALS,L000275680,SC,PO BOX 2826,,08-10-2023 00:00,12/31/2154 23:59:59,29641,101
ENVIRONMENTAL SOLUTIONS INC,Business;Remit to,V017121,"PO BOX 270452
WEST ALLIS, WI  53227",WEST ALLIS,USA,,ENVIRONMENTAL SOLUTIONS INC,L000275681,WI,PO BOX 270452,,08-10-2023 00:00,12/31/2154 23:59:59,53227,101
EXCEL TRUCK GROUP,Business;Remit to,V017130,"PO BOX 7178
ROANOKE, VA  24019",ROANOKE,USA,,EXCEL TRUCK GROUP,L000275690,VA,PO BOX 7178,,08-10-2023 00:00,12/31/2154 23:59:59,24019,101
EXCLAIMER LTD.,Business;Remit to,V017131,"445 PARK AVENUE- 9TH FLOOR
NEW YORK, NY  10022",NEW YORK,USA,,EXCLAIMER LTD.,L000275691,NY,445 PARK AVENUE- 9TH FLOOR,,08-10-2023 00:00,12/31/2154 23:59:59,10022,101
F & W EQUIPMENT CORP,Business;Remit to,V017136,"164 BOSTON POST ROAD
ORANGE, CT  6477",ORANGE,USA,,F & W EQUIPMENT CORP,L000275696,CT,164 BOSTON POST ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,6477,101
FIRE & RESCUE PRODUCTS OF HARRISBURG LLC,Remit to,V017145,"P.O. BOX 268
BYRON CENTER, MI  49315",BYRON CENTER,USA,,FIRE & RESCUE PRODUCTS OF HARRISBURG LLC,L000496749,MI,P.O. BOX 268,,10/31/2025 19:19:42,12/31/2154 23:59:59,49315,101
FIRE & RESCUE PRODUCTS OF HARRISBURG LLC,Business;Remit to,V017145,"4230 INDUSTRIAL ROAD
HARRISBURG, PA  17110",HARRISBURG,USA,,FIRE & RESCUE PRODUCTS OF HARRISBURG LLC,L000275705,PA,4230 INDUSTRIAL ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,17110,101
FIRST ONSITE PROPERTY RESTORATION,Business;Remit to,V017146,"94-1388 MOANIANI STREET, UNIT 220
WAIPAHU, HI  96797",WAIPAHU,USA,,FIRST ONSITE PROPERTY RESTORATION,L000275706,HI,"94-1388 MOANIANI STREET, UNIT 220",,08-10-2023 00:00,12/31/2154 23:59:59,96797,101
"FISHER AUTO PARTS, INC",Business;Remit to,V017147,"2365 OLD TRAIL RD
ETTERS, PA  17319",ETTERS,USA,,"FISHER AUTO PARTS, INC",L000451768,PA,2365 OLD TRAIL RD,,05/22/2025 11:34:15,12/31/2154 23:59:59,17319,101
"FISHER AUTO PARTS, INC",Business;Remit to,V017147,"P.O.  BOX 2246
STAUNTON, VA  24402",STAUNTON,USA,,"FISHER AUTO PARTS, INC",L000363813,VA,P.O.  BOX 2246,,08/21/2024 14:40:11,12/31/2154 23:59:59,24402,101
"FISHER AUTO PARTS, INC",Business;Remit to,V017147,"512 GREENVILLE AVE
STAUNTON, VA  24401",STAUNTON,USA,,"FISHER AUTO PARTS, INC",L000275707,VA,512 GREENVILLE AVE,,08/21/2024 14:43:57,12/31/2154 23:59:59,24401,101
FLUID TECHNOLOGY CORP,Business;Remit to,V017152,"3389 S CLINTON AVE
SOUTH PLAINFIELD, NJ  07080",SOUTH PLAINFIELD,USA,,FLUID TECHNOLOGY CORP,L000275712,NJ,3389 S CLINTON AVE,,10-04-2023 19:34,12/31/2154 23:59:59,07080,101
FORD OF BRANFORD,Business;Remit to,V017153,"301 EAST MAIN STREET
BRANFORD, CT  6405",BRANFORD,USA,,FORD OF BRANFORD,L000275713,CT,301 EAST MAIN STREET,,08-10-2023 00:00,12/31/2154 23:59:59,6405,101
FREIGHTLINER OF HARTFORD INC,Business;Remit to,V017162,"222 ROBERTS STREET
EAST HARTFORD, CT  6108",EAST HARTFORD,USA,,FREIGHTLINER OF HARTFORD INC,L000275722,CT,222 ROBERTS STREET,,08-10-2023 00:00,12/31/2154 23:59:59,6108,101
G.E. MECHANICAL INC,Business;Remit to,V017167,"2316 S. MAIN ROAD
VINELAND, NJ  8360",VINELAND,USA,,G.E. MECHANICAL INC,L000275727,NJ,2316 S. MAIN ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,8360,101
GABRIELLI KENWORTH,Business;Remit to,V017168,"OF NORTHERN NJ , LLC PO BOX 358137
PITTSBURGH, PA  15251",PITTSBURGH,USA,,GABRIELLI KENWORTH,L000275728,PA,"OF NORTHERN NJ , LLC PO BOX 358137",,08-10-2023 00:00,12/31/2154 23:59:59,15251,101
"GABRIELLI TRUCK SALES, LTD.",Business;Remit to,V017169,"PO BOX 358137
PITTSBURGH, PA  15251",PITTSBURGH,USA,,"GABRIELLI TRUCK SALES, LTD.",L000275729,PA,PO BOX 358137,,08-10-2023 00:00,12/31/2154 23:59:59,15251,101
GAC CHEMICAL CORPORATION,Business;Remit to,V017170,"34 KIDDER POINT ROAD
SEARSPORT, ME  04974",SEARSPORT,USA,,GAC CHEMICAL CORPORATION,L000275730,ME,34 KIDDER POINT ROAD,,05/21/2025 16:43:32,12/31/2154 23:59:59,04974,101
GAUGA L. RAMNARINE,Business;Remit to,V017172,"130-08 120TH STREET SO. OZONE PARK
QUEENS, NY  11420",QUEENS,USA,,GAUGA L. RAMNARINE,L000275732,NY,130-08 120TH STREET SO. OZONE PARK,,08-10-2023 00:00,12/31/2154 23:59:59,11420,101
GCM BUILDING MATERIALS INC,Business;Remit to,V017173,"P.O. BOX 55
KEARNY, NJ  07032",KEARNY,USA,,GCM BUILDING MATERIALS INC,L000275733,NJ,P.O. BOX 55,,02-07-2024 15:15,12/31/2154 23:59:59,07032,101
GEI CONSULTANTS INC.,Remit to,V017176,"P.O. BOX 23916
NEW YORK, NY  10087-3916",NEW YORK,USA,,GEI CONSULTANTS INC.,L000275736,NY,P.O. BOX 23916,,11/20/2023 12:34:39,12/31/2154 23:59:59,10087-3916,101
GEI WORKS,Business;Remit to,V017177,"2725 KIRBY CIRCLE NE BLDG 2A
PALM BAY, FL  32905",PALM BAY,USA,,GEI WORKS,L000275737,FL,2725 KIRBY CIRCLE NE BLDG 2A,,08-10-2023 00:00,12/31/2154 23:59:59,32905,101
GERALD TAYLOR CO. INC,Business;Remit to,V017181,"12 WEST POTOMAC PARKWAY
WILLIAMSPORT, MD  21795",WILLIAMSPORT,USA,,GERALD TAYLOR CO. INC,L000275741,MD,12 WEST POTOMAC PARKWAY,,08-10-2023 00:00,12/31/2154 23:59:59,21795,101
GERHART SCALE CORPORATION,Business;Remit to,V017182,"300 BUSHKILL STREET PO BOX 580
TATAMY, PA  18085",TATAMY,USA,,GERHART SCALE CORPORATION,L000275742,PA,300 BUSHKILL STREET PO BOX 580,,08-10-2023 00:00,12/31/2154 23:59:59,18085,101
"GIANT RESOURCE RECOVERY-HARLEYVILLE, INC",Remit to,V017183,"P.O. BOX 412345
BOSTON, MA  02241",BOSTON,USA,,"GIANT RESOURCE RECOVERY-HARELYVILLE, INC",L000311058,MA,P.O. BOX 412345,,10/15/2025 19:44:10,12/31/2154 23:59:59,02241,101
GLOUCESTER CTY IMPROVEMENT AUTHORITY,Business;Remit to,V017186,"503 MONROEVILLE ROAD
SWEDESBORO, NJ  08085",SWEDESBORO,USA,,GLOUCESTER CTY IMPROVEMENT AUTHORITY,L000275746,NJ,503 MONROEVILLE ROAD,,06/27/2024 22:44:01,12/31/2154 23:59:59,08085,101
GLOVER'S SEPTIC PUMPING,Business;Remit to,V017187,"PO BOX 4
BRYANT POND, ME  04219",BRYANT POND,USA,,GLOVER'S SEPTIC PUMPING,L000275747,ME,PO BOX 4,,05/29/2025 16:07:38,12/31/2154 23:59:59,04219,101
GOOD SHEPHERD SEPTIC SERVICE INC DBA BOBBYS PORTABLE RESTROOMS,Business;Remit to,V017189,"PO BOX 501
JOPPA, MD  21085",JOPPA,USA,,BOBBY'S PORTABLE RESTROOMS,L000343090,MD,PO BOX 501,,06/13/2024 18:13:26,12/31/2154 23:59:59,21085,101
GOOD SHEPHERD SEPTIC SERVICE INC DBA BOBBYS PORTABLE RESTROOMS,Business;Remit to,V017189,"PO BOX 501
JOPPA, MD  21085",JOPPA,USA,,GOOD SHEPHERD SEPTIC SERVICE INC.,L000275749,MD,PO BOX 501,,08-10-2023 00:00,12/31/2154 23:59:59,21085,101
"GP COMPANIES, INC., DBA GENERAL PUMP",Remit to,V017190,"NW 5977 P.O. BOX 1450
MINNEAPOLIS, MN  55485-5977",MINNEAPOLIS,USA,,"GP COMPANIES, INC. DBA GENERAL PUMP",L000316562,MN,NW 5977 P.O. BOX 1450,,02/29/2024 11:52:57,12/31/2154 23:59:59,55485-5977,101
"GP COMPANIES, INC., DBA GENERAL PUMP",Business;Remit to,V017190,"1174 NORTHLAND DRIVE
SAINT PAUL, MN  55120",SAINT PAUL,USA,,"GP COMPANIES, INC., DBA GENERAL PUMP",L000275750,MN,1174 NORTHLAND DRIVE,,08-10-2023 00:00,12/31/2154 23:59:59,55120,101
GRAY MANUFACTURING CO INC,Business;Remit to,V017191,"1908 TWO NOTCH ROAD
LEXINGTON, SC  29073",LEXINGTON,USA,,GRAY DIESEL & EQUIPMENT SERVICES,L000409643,SC,1908 TWO NOTCH ROAD,,01/17/2025 12:22:58,12/31/2154 23:59:59,29073,101
GRAY MANUFACTURING CO INC,Remit to,V017191,"P.O. BOX 1587
ST JOSEPH, MO  64507",ST JOSEPH,USA,,GRAY MANUFACTURING CO INC,L000407647,MO,P.O. BOX 1587,,01-10-2025 12:32,12/31/2154 23:59:59,64507,101
GREAT AMERICA FIN SVCS.,Business;Remit to,V017192,"P.O. BOX 660831
DALLAS, TX  75266",DALLAS,USA,,GREAT AMERICA FIN SVCS.,L000275752,TX,P.O. BOX 660831,,12/19/2023 14:00:43,12/31/2154 23:59:59,75266,101
H/H INDUSTRY ADVANCEMENT,Business;Remit to,V017199,"FUND 1375 VIRGINIA DR SUITE 102
FORT WASHINGTON, PA  19034",FORT WASHINGTON,USA,,H/H INDUSTRY ADVANCEMENT,L000275759,PA,FUND 1375 VIRGINIA DR SUITE 102,,08-10-2023 00:00,12/31/2154 23:59:59,19034,101
HAIGHT FIRE EQUIP SUPPLY INC,Business;Remit to,V017200,"199 LITTLE BRITAIN ROAD
BALMVILLE, NY  12550",BALMVILLE,USA,,HAIGHT FIRE EQUIP SUPPLY INC,L000275760,NY,199 LITTLE BRITAIN ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,12550,101
HAMILTON FIRE & SAFETY EQUIP,Business;Remit to,V017201,"312 CEDAR AVE
RICHLAND, NJ  8350",RICHLAND,USA,,HAMILTON FIRE & SAFETY EQUIP,L000275761,NJ,312 CEDAR AVE,,08-10-2023 00:00,12/31/2154 23:59:59,8350,101
HARFORD INDUSTRIAL MINERALS INC,Business;Remit to,V017202,"40 FORT HOYLE ROAD
JOPPA, MD  21085",JOPPA,USA,,HARFORD INDUSTRIAL MINERALS INC,L000275762,MD,40 FORT HOYLE ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,21085,101
HARMONY ENVIRONMENTAL SERVICES,Business;Remit to,V017203,"1291 PACIFIC OAKS PLACE STE120
ESCONDIDO, CA  92029",ESCONDIDO,USA,,HARMONY ENVIRONMENTAL SERVICES,L000275763,CA,1291 PACIFIC OAKS PLACE STE120,,08-10-2023 00:00,12/31/2154 23:59:59,92029,101
"HATFIELD BROTHERS TRUCK SERVICE,LTD",Business;Remit to,V017207,"PO BOX 139
FISHKILL, NY  12524",FISHKILL,USA,,"HATFIELD BROTHERS TRUCK SERVICE,LTD",L000275767,NY,PO BOX 139,,08-10-2023 00:00,12/31/2154 23:59:59,12524,101
"HAZELTON CREEK ASSOCIATES, INC",Business;Remit to,V017210,"4000 4TH STEET
MOOSIC, PA  18507",MOOSIC,USA,,"HAZELTON CREEK ASSOCIATES, INC",L000275770,PA,4000 4TH STEET,,08-10-2023 00:00,12/31/2154 23:59:59,18507,101
HFI TRUCK CENTER,Business;Remit to,V017215,"1463 US HIGHWAY 22
MOUNTAINSIDE, NJ  7092",MOUNTAINSIDE,USA,,HFI TRUCK CENTER,L000275775,NJ,1463 US HIGHWAY 22,,08-10-2023 00:00,12/31/2154 23:59:59,7092,101
HIGHTOWERS PETROLEUM CO,Business;Remit to,V017217,"3577 COMMERCE DRIVE
MIDDLETOWN,, OH  45005","MIDDLETOWN,",USA,,HIGHTOWERS PETROLEUM CO,L000275777,OH,3577 COMMERCE DRIVE,,08-10-2023 00:00,12/31/2154 23:59:59,45005,101
HIGHWAY EQUIPMENT COMPANY,Business;Remit to,V017218,"PO BOX 640305
PITTSBURGH, PA  15264",PITTSBURGH,USA,,HIGHWAY EQUIPMENT COMPANY,L000275778,PA,PO BOX 640305,,08-10-2023 00:00,12/31/2154 23:59:59,15264,101
"HIGHWIRE, INC.",Business;Remit to,V017219,"700 DISTRICT AVENUE, 7TH FLR.
BURLINGTON, MA  1803",BURLINGTON,USA,,"HIGHWIRE, INC.",L000275779,MA,"700 DISTRICT AVENUE, 7TH FLR.",,08-10-2023 00:00,12/31/2154 23:59:59,1803,101
"HILL INTERNATIONAL TRUCKS, LLC",Remit to,V017220,"PO BOX 2170
EAST LIVERPOOL, OH  43920",EAST LIVERPOOL,USA,,"HILL INTERNATIONAL TRUCKS, LLC",L000275780,OH,PO BOX 2170,,04/18/2024 12:28:47,12/31/2154 23:59:59,43920,101
"HI-TECH SECURITY SERVICES, INC.",Business;Remit to,V017223,"PO BOX 428
SUFFERN, NY  10901",SUFFERN,USA,,"HI-TECH SECURITY SERVICES, INC.",L000275783,NY,PO BOX 428,,08-10-2023 00:00,12/31/2154 23:59:59,10901,101
HUNTER TRUCK SALES & SERVICE LLC,Business;Remit to,V017229,"519 PITTSBURGH ROAD
BUTLER, PA  16002",BUTLER,USA,,HUNTER TRUCK SALES & SERVICE LLC,L000337084,PA,519 PITTSBURGH ROAD,,05/23/2024 12:35:48,12/31/2154 23:59:59,16002,101
HUNTER TRUCK SALES & SERVICE LLC,Business;Remit to,V017229,"PO BOX 820849
PHILADELPHIA, PA  19182",PHILADELPHIA,USA,,HUNTER TRUCK SALES & SERVICE LLC,L000275789,PA,PO BOX 820849,,08-10-2023 00:00,12/31/2154 23:59:59,19182,101
"IAP, INC",Business;Remit to,V017231,"W6905 PARADISE LANE, PO BOX 56
PHILLIPS, WI  54555",PHILLIPS,USA,,"IAP, INC",L000275791,WI,"W6905 PARADISE LANE, PO BOX 56",,08-10-2023 00:00,12/31/2154 23:59:59,54555,101
"IMMEDIATE IDENTITY DESIGNS, LLC",Business;Remit to,V017233,"239 KINGS HWY
CLARKSBORO, NJ  08020",CLARKSBORO,USA,,"IMMEDIATE IDENTITY DESIGNS, LLC",L000275793,NJ,239 KINGS HWY,,12-04-2024 18:09,12/31/2154 23:59:59,08020,101
INDUSTRIAL SAFETY,Business;Remit to,V017236,"164 PENNSYLVANIA AVE
BARNEGAT, NJ  8005",BARNEGAT,USA,,INDUSTRIAL SAFETY,L000275796,NJ,164 PENNSYLVANIA AVE,,08-10-2023 00:00,12/31/2154 23:59:59,8005,101
"INDUSTRIAL TRAINING SERVICES, INC.",Business;Remit to,V017237,"120 MAX HURT DRIVE
MURRAY, KY  42071",MURRAY,USA,,"INDUSTRIAL TRAINING SERVICES, INC.",L000275797,KY,120 MAX HURT DRIVE,,08-10-2023 00:00,12/31/2154 23:59:59,42071,101
INTERNATIONAL MOTEL INC.,Business;Remit to,V017242,"626 MAIN STREET
CALAIS, ME  4619",CALAIS,USA,,INTERNATIONAL MOTEL INC.,L000275802,ME,626 MAIN STREET,,08-10-2023 00:00,12/31/2154 23:59:59,4619,101
"INTERSTATE AUTO ELECTRIC, INC.",Business;Remit to,V017244,"2545 MARKET STREET
ASTON, PA  19014",ASTON,USA,,"INTERSTATE AUTO ELECTRIC, INC.",L000275804,PA,2545 MARKET STREET,,08-10-2023 00:00,12/31/2154 23:59:59,19014,101
"INT'L UNION OF OPERATING ENGINEERS, LOCAL 37",Business;Remit to,V017246,"LOCAL 37 3615 NORTH POINT BLVD, SUITE A
BALTIMORE, MD  21222",BALTIMORE,USA,,"INT'L UNION OF OPERATING ENGINEERS, LOCAL 37",L000275806,MD,"LOCAL 37 3615 NORTH POINT BLVD, SUITE A",,08-10-2023 00:00,12/31/2154 23:59:59,21222,101
"ITHACA STEEL, LLC",Business;Remit to,V017249,"1617 JFL BLVB
PHILADELPHIA, PA  19103",PHILADELPHIA,USA,,"ITHACA STEEL, LLC",L000275809,PA,1617 JFL BLVB,,08-10-2023 00:00,12/31/2154 23:59:59,19103,101
IUOE BENEFIT FUNDS,Business;Remit to,V017250,"1375 VIRGINIA DR STE 102
FORT WASHINGTON, PA  19034",FORT WASHINGTON,USA,,IUOE BENEFIT FUNDS,L000275810,PA,1375 VIRGINIA DR STE 102,,08-10-2023 00:00,12/31/2154 23:59:59,19034,101
IUOE LOCAL 542,Business;Remit to,V017251,"PO BOX 1477
FORT WASHINGTON, PA  19034",FORT WASHINGTON,USA,,IUOE LOCAL 542,L000277258,PA,PO BOX 1477,,08-11-2023 00:00,12/31/2154 00:00:00,19034,101
IUOE LOCAL 542,Business;Remit to,V017251,"1375 VIRGINIA DR STE 245
FORT WASHINGTON, PA  19034",FORT WASHINGTON,USA,,IUOE LOCAL 542,L000275811,PA,1375 VIRGINIA DR STE 245,,08-10-2023 00:00,12/31/2154 23:59:59,19034,101
IUOE LOCAL 825,Business;Remit to,V017253,"CONTRIBUTIONS & COLLECTIONS
65 SPRINGFIELD AVE 2ND FLOOR
SPRINGFIELD, NJ  07081",SPRINGFIELD,USA,,IUOE LOCAL 825,L000275813,NJ,"CONTRIBUTIONS & COLLECTIONS
65 SPRINGFIELD AVE 2ND FLOOR",,06/28/2024 18:42:21,12/31/2154 23:59:59,07081,101
J & M EQUIPMENT SERVICE & REPAIR COMPANY,Business;Remit to,V017255,"520 WINSTON CT.
SCHERERVILLE, IN  46375",SCHERERVILLE,USA,,J & M EQUIPMENT SERVICE & REPAIR COMPANY,L000275815,IN,520 WINSTON CT.,,08-10-2023 00:00,12/31/2154 23:59:59,46375,101
J&W HARDWARE INC,Business;Remit to,V017256,"1060 OLD TRAIL ROAD
ETTERS, PA  17319",ETTERS,USA,,J&W HARDWARE INC,L000275816,PA,1060 OLD TRAIL ROAD,,08-10-2023 00:00,12/31/2154 23:59:59,17319,101
J.L. HOLLINGER & SONS INC,Business;Remit to,V017258,"1617 LEBANON ROAD PO BOX 309
MANHEIM, PA  17545",MANHEIM,USA,,J.L. HOLLINGER & SONS INC,L000275818,PA,1617 LEBANON ROAD PO BOX 309,,08-10-2023 00:00,12/31/2154 23:59:59,17545,101
